field _
STRIPE82-0052 SDSS
STRIPE82-0053 SDSS
STRIPE82-0054 SDSS
STRIPE82-0055 SDSS
STRIPE82-0056 SDSS
STRIPE82-0057 SDSS
STRIPE82-0058 SDSS
STRIPE82-0059 SDSS
STRIPE82-0060 SDSS
STRIPE82-0061 SDSS
STRIPE82-0062 SDSS
STRIPE82-0063 SDSS
STRIPE82-0064 SDSS
STRIPE82-0065 SDSS
STRIPE82-0066 SDSS
STRIPE82-0067 SDSS
STRIPE82-0068 SDSS
STRIPE82-0069 SDSS
STRIPE82-0070 SDSS
STRIPE82-0071 SDSS
STRIPE82-0072 SDSS
STRIPE82-0073 SDSS
STRIPE82-0074 SDSS
STRIPE82-0075 SDSS
STRIPE82-0076 SDSS
STRIPE82-0077 SDSS
STRIPE82-0078 SDSS
STRIPE82-0079 SDSS
STRIPE82-0080 SDSS
STRIPE82-0081 SDSS
STRIPE82-0082 SDSS
STRIPE82-0083 SDSS
STRIPE82-0084 SDSS
STRIPE82-0085 SDSS
STRIPE82-0086 SDSS
STRIPE82-0087 SDSS
STRIPE82-0088 SDSS
STRIPE82-0089 SDSS
STRIPE82-0090 SDSS
STRIPE82-0091 SDSS
STRIPE82-0092 SDSS
STRIPE82-0093 SDSS
STRIPE82-0094 SDSS
STRIPE82-0095 SDSS
STRIPE82-0096 SDSS
STRIPE82-0097 SDSS
STRIPE82-0098 SDSS
STRIPE82-0099 SDSS
STRIPE82-0100 SDSS
STRIPE82-0101 SDSS
STRIPE82-0102 SDSS
STRIPE82-0103 SDSS
STRIPE82-0104 SDSS
STRIPE82-0105 SDSS
STRIPE82-0106 SDSS
STRIPE82-0107 SDSS
STRIPE82-0108 SDSS
STRIPE82-0109 SDSS
STRIPE82-0110 SDSS
STRIPE82-0111 SDSS
STRIPE82-0112 SDSS
STRIPE82-0113 SDSS
STRIPE82-0114 SDSS
STRIPE82-0115 SDSS
STRIPE82-0116 SDSS
STRIPE82-0117 SDSS
STRIPE82-0118 SDSS
STRIPE82-0119 SDSS
